# [1] = simulation resolution,	 [n+1] = cstcool
       2048	       2048	        512	        128	         32	          8
# [1] = size (cells),	 [n+1] = PDF[n]
     10.9610	    186.0000	  15140.0000	  14425.0000	   3922.0000	     22.0000
     13.1690	     66.0000	   6868.0000	   5872.0000	   1471.0000	      0.0000
     15.8217	     63.0000	   7792.0000	   9586.0000	   1319.0000	     16.0000
     19.0088	     26.0000	   5862.0000	   7646.0000	   1179.0000	      0.0000
     22.8378	     52.0000	   7251.0000	   6277.0000	   1946.0000	      0.0000
     27.4382	     36.0000	   5297.0000	   7535.0000	    765.0000	     11.0000
     32.9653	     43.0000	   4606.0000	   5836.0000	   1302.0000	      0.0000
     39.6057	     44.0000	   4135.0000	   4692.0000	   1066.0000	     15.0000
     47.5838	     42.0000	   3838.0000	   5026.0000	   1261.0000	      0.0000
     57.1689	     58.0000	   3179.0000	   3919.0000	    625.0000	      0.0000
     68.6848	     42.0000	   3206.0000	   3948.0000	    755.0000	      9.0000
     82.5205	     49.0000	   2619.0000	   3578.0000	    606.0000	      0.0000
     99.1432	     40.0000	   2548.0000	   2600.0000	    408.0000	      4.0000
    119.1143	     61.0000	   2682.0000	   2326.0000	    398.0000	      0.0000
    143.1084	     49.0000	   3013.0000	   2183.0000	    310.0000	      6.0000
    171.9357	     82.0000	   3083.0000	   1592.0000	    191.0000	      0.0000
    206.5699	     74.0000	   3398.0000	   1369.0000	    143.0000	      9.0000
    248.1807	     73.0000	   3218.0000	   1178.0000	    105.0000	      4.0000
    298.1735	     55.0000	   2992.0000	    960.0000	     77.0000	      0.0000
    358.2368	     63.0000	   2235.0000	    863.0000	     80.0000	      0.0000
    430.3989	     87.0000	   1918.0000	    631.0000	     26.0000	      0.0000
    517.0972	  18409.0000	   2298.0000	    647.0000	     25.0000	      0.0000
    621.2598	     10.0000	    373.0000	    652.0000	     27.0000	      2.0000
    746.4045	     37.0000	    147.0000	    270.0000	     21.0000	      0.0000
    896.7581	      5.0000	    107.0000	    177.0000	     22.0000	      0.0000
   1077.3984	     14.0000	    171.0000	     87.0000	      7.0000	      0.0000
   1294.4264	     16.0000	     50.0000	    163.0000	      0.0000	      0.0000
   1555.1719	     15.0000	     37.0000	     37.0000	      4.0000	      0.0000
   1868.4412	      0.0000	     72.0000	     62.0000	      4.0000	      0.0000
